saved_at,data_file,granularity,metric,error_band,task,condition,noise,beta,ft,filter_noise,filter_beta,filter_ft,n_seeds,auc_per_step,curve_score,peak_reward,final_score,reward_score,trial_name,checkpoint_count,mean,std,sem,band_halfwidth,seed_means
2026-09-07T20:17:18.612279+00:00,test_results.csv,binary,results_success_rate,ci95,Passive,Baseline-PER,0.0,1.0,0.2,0.0,,,1,0.19544242424242425,1.0,0.8533333333333334,0.6547555555555555,0.7540444444444445,Flappy__Passive__Baseline-PER__finetune__binary__noise0.0__beta1.0__ft0.2,55,"[0.0, 0.0, 0.0, 0.0, 0.0026666666666666666, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.0026666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005333333333333333, 0.005333333333333333, 0.008, 0.016, 0.024, 0.026666666666666665, 0.064, 0.10133333333333333, 0.10666666666666667, 0.16266666666666665, 0.20266666666666666, 0.2533333333333333, 0.29866666666666664, 0.3493333333333333, 0.4026666666666666, 0.46133333333333326, 0.5226666666666666, 0.5573333333333333, 0.5999999999999999, 0.6533333333333332, 0.6959999999999998, 0.7226666666666667, 0.7386666666666667, 0.7946666666666666, 0.8053333333333333, 0.8293333333333331, 0.8346666666666667, 0.8533333333333334]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[0.0, 0.0, 0.0, 0.0, 0.0026666666666666666, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.0026666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005333333333333333, 0.005333333333333333, 0.008, 0.016, 0.024, 0.026666666666666665, 0.064, 0.10133333333333333, 0.10666666666666667, 0.16266666666666665, 0.20266666666666666, 0.2533333333333333, 0.29866666666666664, 0.3493333333333333, 0.4026666666666666, 0.46133333333333326, 0.5226666666666666, 0.5573333333333333, 0.5999999999999999, 0.6533333333333332, 0.6959999999999998, 0.7226666666666667, 0.7386666666666667, 0.7946666666666666, 0.8053333333333333, 0.8293333333333331, 0.8346666666666667, 0.8533333333333334]]"
2026-09-07T20:17:18.612279+00:00,test_results.csv,binary,results_success_rate,ci95,Passive,Prioritization-PER,0.0,1.0,0.0,0.0,,,1,0.1713216374269006,1.0,0.8053333333333335,0.5889777777777778,0.6971555555555556,Flappy__Passive__Prioritization-PER__finetune__binary__noise0.0__beta1.0__ft0.0,57,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010666666666666666, 0.02666666666666667, 0.02666666666666667, 0.03733333333333333, 0.05333333333333333, 0.088, 0.11199999999999997, 0.11199999999999997, 0.15466666666666665, 0.18133333333333332, 0.2373333333333333, 0.2533333333333333, 0.2933333333333333, 0.344, 0.39999999999999997, 0.45333333333333325, 0.4879999999999999, 0.544, 0.584, 0.624, 0.6453333333333333, 0.6693333333333332, 0.7226666666666667, 0.7333333333333335, 0.7600000000000001, 0.7680000000000001, 0.8053333333333335]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010666666666666666, 0.02666666666666667, 0.02666666666666667, 0.03733333333333333, 0.05333333333333333, 0.088, 0.11199999999999997, 0.11199999999999997, 0.15466666666666665, 0.18133333333333332, 0.2373333333333333, 0.2533333333333333, 0.2933333333333333, 0.344, 0.39999999999999997, 0.45333333333333325, 0.4879999999999999, 0.544, 0.584, 0.624, 0.6453333333333333, 0.6693333333333332, 0.7226666666666667, 0.7333333333333335, 0.7600000000000001, 0.7680000000000001, 0.8053333333333335]]"
2026-09-07T20:17:43.029320+00:00,test_results.csv,binary,results_success_rate,ci95,Passive,Baseline-PER,0.0,1.0,0.2,0.0,,,1,0.19544242424242425,1.0,0.8533333333333334,0.6547555555555555,0.7540444444444445,Flappy__Passive__Baseline-PER__finetune__binary__noise0.0__beta1.0__ft0.2,55,"[0.0, 0.0, 0.0, 0.0, 0.0026666666666666666, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.0026666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005333333333333333, 0.005333333333333333, 0.008, 0.016, 0.024, 0.026666666666666665, 0.064, 0.10133333333333333, 0.10666666666666667, 0.16266666666666665, 0.20266666666666666, 0.2533333333333333, 0.29866666666666664, 0.3493333333333333, 0.4026666666666666, 0.46133333333333326, 0.5226666666666666, 0.5573333333333333, 0.5999999999999999, 0.6533333333333332, 0.6959999999999998, 0.7226666666666667, 0.7386666666666667, 0.7946666666666666, 0.8053333333333333, 0.8293333333333331, 0.8346666666666667, 0.8533333333333334]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[0.0, 0.0, 0.0, 0.0, 0.0026666666666666666, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.005333333333333333, 0.0026666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005333333333333333, 0.005333333333333333, 0.008, 0.016, 0.024, 0.026666666666666665, 0.064, 0.10133333333333333, 0.10666666666666667, 0.16266666666666665, 0.20266666666666666, 0.2533333333333333, 0.29866666666666664, 0.3493333333333333, 0.4026666666666666, 0.46133333333333326, 0.5226666666666666, 0.5573333333333333, 0.5999999999999999, 0.6533333333333332, 0.6959999999999998, 0.7226666666666667, 0.7386666666666667, 0.7946666666666666, 0.8053333333333333, 0.8293333333333331, 0.8346666666666667, 0.8533333333333334]]"
2026-09-07T20:17:43.029320+00:00,test_results.csv,binary,results_success_rate,ci95,Passive,Prioritization-PER,0.0,1.0,0.0,0.0,,,1,0.1713216374269006,1.0,0.8053333333333335,0.5889777777777778,0.6971555555555556,Flappy__Passive__Prioritization-PER__finetune__binary__noise0.0__beta1.0__ft0.0,57,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010666666666666666, 0.02666666666666667, 0.02666666666666667, 0.03733333333333333, 0.05333333333333333, 0.088, 0.11199999999999997, 0.11199999999999997, 0.15466666666666665, 0.18133333333333332, 0.2373333333333333, 0.2533333333333333, 0.2933333333333333, 0.344, 0.39999999999999997, 0.45333333333333325, 0.4879999999999999, 0.544, 0.584, 0.624, 0.6453333333333333, 0.6693333333333332, 0.7226666666666667, 0.7333333333333335, 0.7600000000000001, 0.7680000000000001, 0.8053333333333335]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010666666666666666, 0.02666666666666667, 0.02666666666666667, 0.03733333333333333, 0.05333333333333333, 0.088, 0.11199999999999997, 0.11199999999999997, 0.15466666666666665, 0.18133333333333332, 0.2373333333333333, 0.2533333333333333, 0.2933333333333333, 0.344, 0.39999999999999997, 0.45333333333333325, 0.4879999999999999, 0.544, 0.584, 0.624, 0.6453333333333333, 0.6693333333333332, 0.7226666666666667, 0.7333333333333335, 0.7600000000000001, 0.7680000000000001, 0.8053333333333335]]"
