parameters_experiment_domain,parameters_experiment_task,parameters_experiment_model_granularity,parameters_experiment_participant_list,parameters_experiment_random_state,parameters_experiment_pretrained_success_rate,parameters_experiment_eval_success_threshold,parameters_experiment_verbose,parameters_experiment_condition,parameters_experiment_experiment_list,parameters_experiment_integration_type,parameters_neural_smoothing_window_size,parameters_neural_temporal_shift,parameters_neural_window_size_s,parameters_neural_sliding_window_size,parameters_neural_beta,parameters_neural_fnirs_rate_hz,parameters_mlp_model_noise,parameters_mlp_binary_hidden_layer_sizes,parameters_mlp_ternary_hidden_layer_sizes,parameters_mlp_regressor_hidden_layer_sizes,parameters_mlp_binary_activation,parameters_mlp_ternary_activation,parameters_mlp_reg_activation,parameters_mlp_binary_alpha,parameters_mlp_ternary_alpha,parameters_mlp_reg_alpha,parameters_mlp_early_stopping,parameters_rl_n_episodes,parameters_rl_algorithm,parameters_rl_buffer_type,parameters_rl_learning_rate_init,parameters_rl_steps,parameters_rl_action_space,parameters_rl_observation_space,results_date,results_time,results_experiment_list,results_episodes,results_total_reward,results_success_rate,results_steps
Robot,Passive,binary,[24],42,0.0,0.0,False,Baseline-PER,[0],pretrain,1,0.0,4.0,1,1.0,5.2,0.0,"[75, 50, 5]","[75, 50, 5]","[150, 75, 5]",relu,relu,relu,0.0005,0.0001,0.0005,True,45,DDPG,PER,0.001,50,None,None,2026-05-26,2026-05-26 15:15:03.454068,[0],30,[],[],[]
Robot,Passive,binary,[24],42,0.0,0.0,False,Baseline-PER,[0],pretrain,1,0.0,4.0,1,1.0,5.2,0.0,"[75, 50, 5]","[75, 50, 5]","[150, 75, 5]",relu,relu,relu,0.0005,0.0001,0.0005,True,45,DDPG,PER,0.001,50,None,None,2026-05-26,2026-05-26 15:18:17.778345,[0],30,[],[],[]
